Date,Type,Expense Category,Amount ($),Notes
46156,Income,Product Cost,$263.76,Groceries
45786,Income,Product Cost,"$1,697.59",Office commute
45917,Income,Product Cost,"$1,949.01",Groceries
45321,Income,Product Cost,"$1,210.28",Vacation booking
45407,Income,Product Cost,"$1,104.52",Online purchase
45559,Income,Product Cost,$35.84,Streaming service
46077,Income,Product Cost,"$1,810.81",Family outing
45977,Income,Product Cost,"$1,300.15",Groceries
45389,Income,Product Cost,"$1,655.97",Family outing
45785,Income,Product Cost,"$1,660.96",Course fee
45444,Income,Product Cost,"$2,230.69",Groceries
45347,Income,Product Cost,"$1,610.28",Office commute
45809,Income,Product Cost,"$2,130.42",Office commute
45368,Income,Product Cost,$804.98,Medical visit
45576,Income,Product Cost,"$1,269.79",Streaming service
45950,Income,Product Cost,"$1,011.18",Family outing
45372,Income,Product Cost,"$1,113.25",Groceries
45750,Income,Product Cost,"$2,142.19",Vacation booking
45615,Income,Product Cost,"$2,451.77",Monthly payment
45397,Income,Product Cost,"$1,033.78",Streaming service
45854,Income,Product Cost,"$2,065.64",Groceries
45925,Income,Product Cost,"$2,225.83",Streaming service
45503,Income,Product Cost,"$2,376.14",Medical visit
46137,Income,Product Cost,"$2,042.39",Vacation booking
45631,Income,Product Cost,"$1,919.70",Groceries
45776,Income,Product Cost,"$1,791.20",Online purchase
45391,Income,Product Cost,$10.48,Medical visit
46141,Income,Product Cost,"$1,371.49",Medical visit
46010,Income,Product Cost,$119.22,Office commute
45796,Income,Product Cost,"$2,055.49",Course fee
45401,Income,Product Cost,"$1,529.08",Family outing
45415,Income,Product Cost,$542.90,Family outing
46025,Income,Product Cost,$273.88,Course fee
45339,Income,Product Cost,$312.43,Vacation booking
45760,Income,Product Cost,"$2,390.69",Office commute
45802,Income,Product Cost,"$1,328.26",Monthly payment
45858,Income,Product Cost,"$2,097.85",Vacation booking
45812,Income,Product Cost,"$1,731.09",Office commute
46040,Income,Product Cost,$263.37,Groceries
45912,Income,Product Cost,"$1,262.75",Course fee
45720,Income,Product Cost,"$2,290.20",Family outing
45572,Income,Product Cost,"$2,409.17",Utility bill
45755,Income,Product Cost,$349.76,Groceries
46008,Income,Product Cost,$750.79,Streaming service
45613,Income,Product Cost,"$1,583.30",Family outing
45506,Income,Product Cost,"$1,787.39",Medical visit
45980,Income,Product Cost,"$2,453.43",Office commute
45807,Income,Product Cost,"$1,737.31",Medical visit
46019,Income,Product Cost,"$1,903.13",Streaming service
45783,Income,Product Cost,"$1,428.74",Course fee
45982,Income,Product Cost,$718.39,Course fee
46119,Income,Product Cost,"$1,309.21",Monthly payment
45682,Income,Product Cost,$137.40,Monthly payment
45496,Income,Product Cost,"$1,876.71",Office commute
45585,Income,Product Cost,$370.34,Monthly payment
45999,Income,Product Cost,$513.98,Streaming service
45325,Income,Product Cost,"$2,036.00",Online purchase
45922,Income,Product Cost,"$2,162.78",Streaming service
45690,Income,Product Cost,"$1,279.75",Utility bill
46001,Income,Product Cost,"$2,316.58",Course fee
45718,Income,Product Cost,"$2,414.75",Monthly payment
45305,Income,Product Cost,$511.70,Vacation booking
46141,Income,Product Cost,"$2,279.16",Medical visit
46065,Income,Product Cost,"$1,368.80",Groceries
45493,Income,Product Cost,$738.97,Office commute
45991,Income,Product Cost,$471.51,Office commute
46044,Income,Product Cost,$302.79,Monthly payment
45730,Income,Product Cost,"$1,393.71",Office commute
45456,Income,Product Cost,"$2,115.81",Monthly payment
45630,Income,Product Cost,"$1,775.67",Office commute
45332,Income,Product Cost,"$2,321.93",Groceries
45344,Income,Product Cost,"$2,108.63",Utility bill
45794,Income,Product Cost,"$1,377.65",Online purchase
46094,Income,Product Cost,"$1,315.86",Office commute
45825,Income,Product Cost,"$1,966.71",Office commute
45717,Income,Product Cost,"$1,344.90",Online purchase
45649,Income,Product Cost,"$2,209.07",Medical visit
45631,Income,Product Cost,$737.47,Groceries
45835,Income,Product Cost,"$2,491.59",Monthly payment
45409,Income,Product Cost,"$1,116.94",Groceries
45928,Income,Product Cost,"$2,397.45",Medical visit
45682,Income,Product Cost,$967.76,Streaming service
46033,Income,Product Cost,$66.64,Streaming service
46133,Income,Product Cost,"$1,288.20",Streaming service
45748,Income,Product Cost,$114.41,Family outing
45620,Income,Product Cost,$210.45,Online purchase
45463,Income,Product Cost,"$1,335.35",Online purchase
45507,Income,Product Cost,"$2,163.05",Course fee
46147,Income,Product Cost,$517.92,Course fee
45954,Income,Product Cost,"$1,868.49",Office commute
45316,Income,Product Cost,"$1,793.59",Monthly payment
45381,Income,Product Cost,$140.40,Utility bill
45863,Income,Product Cost,"$1,439.53",Family outing
45556,Income,Product Cost,$973.14,Course fee
45735,Income,Product Cost,$47.14,Online purchase
45839,Income,Product Cost,"$1,605.35",Groceries
45356,Income,Product Cost,$118.56,Online purchase
45658,Income,Product Cost,$269.81,Utility bill
45913,Income,Product Cost,$707.39,Vacation booking
45682,Income,Product Cost,"$2,056.20",Monthly payment
45777,Income,Product Cost,"$1,336.00",Office commute
46056,Income,Product Cost,"$1,992.94",Streaming service
45594,Income,Product Cost,$748.65,Medical visit
45303,Income,Product Cost,"$2,187.54",Office commute
45418,Income,Product Cost,$17.55,Groceries
45695,Income,Product Cost,"$1,371.08",Online purchase
45604,Income,Product Cost,"$1,872.00",Medical visit
45508,Income,Product Cost,"$2,264.54",Streaming service
45437,Income,Product Cost,$464.06,Groceries
46146,Income,Product Cost,$489.84,Office commute
45979,Income,Product Cost,"$2,131.37",Streaming service
45764,Income,Product Cost,$187.50,Online purchase
45548,Income,Product Cost,$497.56,Groceries
45790,Income,Product Cost,$896.06,Family outing
45394,Income,Product Cost,"$1,550.69",Family outing
45617,Income,Product Cost,"$1,129.36",Groceries
45967,Income,Product Cost,"$1,735.18",Office commute
45871,Income,Product Cost,$914.41,Medical visit
45730,Income,Product Cost,$17.06,Family outing
46096,Income,Product Cost,"$1,781.94",Course fee
45575,Income,Product Cost,$340.09,Medical visit
45783,Income,Product Cost,"$1,116.17",Utility bill
45790,Income,Product Cost,$276.54,Groceries
45375,Income,Product Cost,"$2,147.49",Office commute
45843,Income,Product Cost,$661.77,Online purchase
46036,Income,Product Cost,"$2,230.80",Streaming service
45938,Income,Product Cost,"$2,032.54",Groceries
45706,Income,Product Cost,$535.84,Monthly payment
45856,Income,Product Cost,"$1,360.96",Streaming service
45775,Income,Product Cost,$917.72,Family outing
46082,Income,Product Cost,"$1,834.40",Utility bill
45429,Income,Product Cost,"$1,255.30",Online purchase
45698,Income,Product Cost,"$1,257.91",Family outing
46160,Income,Product Cost,"$1,711.98",Streaming service
45435,Income,Product Cost,$402.26,Groceries
45871,Income,Product Cost,"$1,841.12",Vacation booking
45659,Income,Product Cost,$550.95,Vacation booking
45529,Income,Product Cost,$664.57,Family outing
45335,Income,Product Cost,"$1,297.12",Medical visit
45689,Income,Product Cost,"$2,295.17",Monthly payment
45332,Income,Product Cost,$262.55,Streaming service
45940,Income,Product Cost,"$2,088.01",Utility bill
45884,Income,Product Cost,"$1,427.55",Course fee
45961,Income,Product Cost,$916.42,Online purchase
45821,Income,Product Cost,$943.94,Family outing
45820,Income,Product Cost,$885.48,Medical visit
45790,Income,Product Cost,"$2,218.49",Monthly payment
45805,Income,Product Cost,"$1,102.55",Family outing
45370,Income,Product Cost,"$1,610.48",Family outing
45445,Income,Product Cost,$397.61,Groceries
46026,Income,Product Cost,"$1,654.47",Course fee
46122,Income,Product Cost,"$1,802.04",Vacation booking
45983,Income,Product Cost,"$1,200.16",Groceries
45457,Income,Product Cost,$61.00,Monthly payment
45422,Income,Product Cost,"$1,482.91",Office commute
45936,Income,Product Cost,$102.78,Groceries
45442,Income,Product Cost,$420.02,Office commute
45821,Income,Product Cost,"$1,500.40",Groceries
45944,Income,Product Cost,"$2,196.88",Utility bill
45379,Income,Product Cost,"$1,125.76",Vacation booking
45785,Income,Product Cost,$552.31,Course fee
45907,Income,Product Cost,"$1,987.57",Office commute
45930,Income,Product Cost,$664.98,Medical visit
45756,Income,Product Cost,"$1,478.54",Family outing
45679,Income,Product Cost,$334.87,Monthly payment
45499,Income,Product Cost,"$2,149.68",Streaming service
45992,Income,Product Cost,"$2,067.15",Groceries
45390,Income,Product Cost,"$1,192.29",Groceries
45906,Income,Product Cost,"$2,194.99",Streaming service
45807,Income,Product Cost,$237.51,Office commute
45909,Income,Product Cost,"$2,069.67",Course fee
45826,Income,Product Cost,$929.09,Monthly payment
46006,Income,Product Cost,"$1,075.25",Vacation booking
46100,Income,Product Cost,$879.54,Groceries
45392,Income,Product Cost,$339.04,Vacation booking
46076,Income,Product Cost,"$2,275.66",Online purchase
45582,Income,Product Cost,"$2,192.53",Course fee
45555,Income,Product Cost,$18.65,Monthly payment
45883,Income,Product Cost,$298.98,Monthly payment
45676,Income,Product Cost,"$1,720.98",Medical visit
45710,Income,Product Cost,$270.93,Course fee
45959,Income,Product Cost,$637.81,Streaming service
45725,Income,Product Cost,$917.28,Utility bill
45988,Income,Product Cost,"$1,888.65",Course fee
45857,Income,Product Cost,"$1,208.76",Medical visit
45864,Income,Product Cost,"$1,211.98",Utility bill
45883,Income,Product Cost,"$1,936.62",Course fee
46045,Income,Product Cost,"$2,138.22",Online purchase
46057,Income,Product Cost,"$1,119.25",Office commute
45394,Income,Product Cost,"$1,273.32",Medical visit
46112,Income,Product Cost,"$1,536.99",Monthly payment
45456,Income,Product Cost,"$2,411.60",Monthly payment
46115,Income,Product Cost,"$2,059.02",Vacation booking
45906,Income,Product Cost,$224.91,Utility bill
45519,Income,Product Cost,$204.70,Monthly payment
46033,Income,Product Cost,"$2,327.06",Course fee
45920,Income,Product Cost,$719.74,Groceries
45350,Income,Product Cost,"$1,602.53",Vacation booking
45302,Income,Product Cost,"$2,127.17",Streaming service
45584,Income,Product Cost,$88.86,Groceries
45814,Income,Product Cost,"$1,747.63",Groceries
45465,Income,Product Cost,$902.55,Monthly payment
45453,Income,Product Cost,"$2,492.06",Course fee
45653,Income,Product Cost,"$1,016.60",Family outing
45822,Income,Product Cost,"$1,843.63",Online purchase
45384,Income,Product Cost,$714.81,Streaming service
45888,Income,Product Cost,$871.95,Utility bill
45523,Income,Product Cost,"$2,407.83",Vacation booking
45705,Income,Product Cost,$16.61,Office commute
45708,Income,Product Cost,$270.63,Online purchase
45807,Income,Product Cost,$853.21,Online purchase
46114,Income,Product Cost,"$2,391.99",Streaming service
46124,Income,Product Cost,$629.10,Vacation booking
45678,Income,Product Cost,"$1,211.66",Family outing
46067,Income,Product Cost,"$2,403.29",Vacation booking
45989,Income,Product Cost,"$2,241.83",Monthly payment
45785,Income,Product Cost,$648.26,Course fee
45940,Income,Product Cost,"$1,693.90",Family outing
46111,Income,Product Cost,"$1,034.00",Medical visit
45820,Income,Product Cost,$29.26,Utility bill
45546,Income,Product Cost,$237.06,Medical visit
45369,Income,Product Cost,"$2,328.83",Vacation booking
45613,Income,Product Cost,$550.32,Groceries
45567,Income,Product Cost,"$2,368.06",Family outing
45802,Income,Product Cost,$590.98,Family outing
45563,Income,Product Cost,$576.87,Family outing
46148,Income,Product Cost,$893.29,Online purchase
45414,Income,Product Cost,"$1,691.15",Vacation booking
45920,Income,Product Cost,"$1,911.79",Streaming service
45335,Income,Product Cost,$931.14,Medical visit
45796,Income,Product Cost,"$2,172.58",Vacation booking
45479,Income,Product Cost,$704.27,Family outing
46060,Income,Product Cost,$324.97,Streaming service
46110,Income,Product Cost,"$1,198.41",Streaming service
45325,Income,Product Cost,$871.49,Office commute
45760,Income,Product Cost,"$1,747.12",Vacation booking
45615,Income,Product Cost,$34.49,Family outing
45680,Income,Product Cost,$256.37,Medical visit
45919,Income,Product Cost,$471.95,Utility bill
45534,Income,Product Cost,"$1,181.01",Groceries
45643,Income,Product Cost,$463.86,Course fee
45507,Income,Product Cost,"$1,753.28",Medical visit
45665,Income,Product Cost,$702.68,Office commute
45877,Income,Product Cost,"$2,448.28",Family outing
46125,Income,Product Cost,"$1,803.43",Family outing
45860,Income,Product Cost,"$2,141.49",Family outing
45441,Income,Product Cost,"$1,185.10",Monthly payment
45472,Income,Product Cost,"$1,251.50",Streaming service
45838,Income,Product Cost,"$1,964.41",Utility bill
45548,Income,Product Cost,"$2,146.96",Monthly payment
45699,Income,Product Cost,"$1,727.91",Monthly payment
45512,Income,Product Cost,"$1,193.97",Online purchase
45752,Income,Product Cost,$653.12,Medical visit
45865,Income,Product Cost,"$2,329.95",Utility bill
45644,Income,Product Cost,"$1,032.34",Medical visit
45987,Income,Product Cost,$501.40,Groceries
45957,Income,Product Cost,$440.47,Utility bill
45655,Income,Product Cost,"$1,684.62",Vacation booking
46085,Income,Product Cost,"$2,224.63",Course fee
45920,Income,Product Cost,"$1,162.06",Office commute
45463,Income,Product Cost,"$1,057.43",Groceries
45877,Income,Product Cost,"$2,123.01",Online purchase
45373,Income,Product Cost,$862.35,Medical visit
45616,Income,Product Cost,"$1,777.53",Groceries
45952,Income,Product Cost,$681.76,Vacation booking
46091,Income,Product Cost,"$1,871.00",Streaming service
45753,Income,Product Cost,$422.46,Monthly payment
45420,Income,Product Cost,"$1,656.75",Online purchase
45507,Income,Product Cost,$995.63,Online purchase
45357,Income,Product Cost,"$1,373.34",Monthly payment
46081,Income,Product Cost,"$1,312.34",Online purchase
45398,Income,Product Cost,"$1,547.16",Online purchase
45962,Income,Product Cost,$776.88,Family outing
46047,Income,Product Cost,"$1,110.69",Office commute
45426,Income,Product Cost,"$2,097.10",Monthly payment
45327,Income,Product Cost,"$2,151.62",Medical visit
45779,Income,Product Cost,"$2,437.58",Streaming service
45570,Income,Product Cost,"$1,114.89",Streaming service
45473,Income,Product Cost,"$1,495.97",Groceries
45737,Income,Product Cost,"$1,601.27",Streaming service
45609,Income,Product Cost,"$1,206.72",Family outing
46116,Income,Product Cost,"$1,107.44",Medical visit
45714,Income,Product Cost,$393.52,Monthly payment
45292,Income,Product Cost,"$2,039.37",Office commute
45644,Income,Product Cost,"$1,175.65",Monthly payment
45996,Income,Product Cost,"$2,367.66",Vacation booking
45598,Income,Product Cost,"$1,915.84",Utility bill
45903,Income,Product Cost,"$1,992.93",Streaming service
45674,Income,Product Cost,"$1,032.28",Streaming service
45739,Income,Product Cost,$628.49,Course fee
46140,Income,Product Cost,$555.38,Online purchase
45724,Income,Product Cost,"$1,293.94",Groceries
46118,Income,Product Cost,$715.27,Streaming service
46120,Income,Product Cost,"$1,035.20",Online purchase
45478,Income,Product Cost,$727.54,Vacation booking
45924,Income,Product Cost,$683.97,Groceries
45795,Income,Product Cost,$805.01,Office commute
45342,Income,Product Cost,$60.22,Online purchase
45580,Income,Product Cost,$316.97,Vacation booking
46036,Income,Product Cost,$585.86,Office commute
45307,Income,Product Cost,$546.88,Course fee
45611,Income,Product Cost,"$2,494.92",Vacation booking
46005,Income,Product Cost,$828.97,Office commute
45349,Income,Product Cost,"$1,940.25",Online purchase
45848,Income,Product Cost,$458.10,Utility bill
46128,Income,Product Cost,"$2,071.49",Online purchase
46078,Income,Product Cost,$965.07,Vacation booking
45545,Income,Product Cost,$501.95,Online purchase
45825,Income,Product Cost,"$1,184.70",Utility bill
45622,Income,Product Cost,"$1,574.76",Monthly payment
46054,Income,Product Cost,"$1,304.71",Utility bill
45784,Income,Product Cost,$500.82,Monthly payment
45974,Income,Product Cost,"$2,433.32",Family outing
45940,Income,Product Cost,$814.66,Office commute
46105,Income,Product Cost,"$1,463.82",Course fee
46100,Income,Product Cost,$27.28,Monthly payment
45887,Income,Product Cost,"$1,722.57",Office commute
45672,Income,Product Cost,$625.56,Vacation booking
45385,Income,Product Cost,$849.36,Monthly payment
45353,Income,Product Cost,"$1,613.21",Streaming service
46102,Income,Product Cost,$318.94,Family outing
45616,Income,Product Cost,"$1,972.46",Medical visit
46116,Income,Product Cost,"$1,834.31",Monthly payment
45997,Income,Product Cost,$898.63,Office commute
45548,Income,Product Cost,"$1,215.83",Vacation booking
45864,Income,Product Cost,"$1,359.12",Vacation booking
45486,Income,Product Cost,$470.63,Medical visit
45623,Income,Product Cost,$691.93,Groceries
45859,Income,Product Cost,$176.85,Office commute
45752,Income,Product Cost,"$2,049.45",Streaming service
45667,Income,Product Cost,$6.80,Streaming service
45680,Income,Product Cost,"$2,207.92",Groceries
46169,Income,Product Cost,"$1,941.16",Family outing
45620,Income,Product Cost,"$1,647.43",Streaming service
46130,Income,Product Cost,$478.72,Vacation booking
46076,Income,Product Cost,$389.56,Utility bill
45622,Income,Product Cost,"$1,604.06",Online purchase
45390,Income,Product Cost,"$1,648.93",Monthly payment
46147,Income,Product Cost,$450.70,Monthly payment
45498,Income,Product Cost,"$1,216.00",Online purchase
45324,Income,Product Cost,"$1,606.17",Course fee
45965,Income,Product Cost,"$1,316.92",Groceries
45554,Income,Product Cost,$919.05,Groceries
46027,Income,Product Cost,$37.65,Family outing
45963,Income,Product Cost,"$2,321.37",Online purchase
45771,Income,Product Cost,$905.51,Course fee
46133,Income,Product Cost,"$1,986.65",Monthly payment
46135,Income,Product Cost,$668.21,Monthly payment
46043,Income,Product Cost,"$2,086.97",Online purchase
45513,Income,Product Cost,$247.31,Family outing
45836,Income,Product Cost,$477.70,Streaming service
45964,Income,Product Cost,"$1,427.22",Office commute
45863,Income,Product Cost,"$1,040.89",Online purchase
46076,Income,Product Cost,$898.12,Vacation booking
46011,Income,Product Cost,"$2,207.65",Office commute
46103,Income,Product Cost,"$1,377.16",Streaming service
45637,Income,Product Cost,"$1,337.08",Groceries
45745,Income,Product Cost,"$2,256.70",Streaming service
45624,Income,Product Cost,"$1,033.80",Course fee
46137,Income,Product Cost,"$1,522.99",Groceries
45850,Income,Product Cost,$940.78,Streaming service
46054,Income,Product Cost,$903.22,Vacation booking
45750,Income,Product Cost,$5.49,Monthly payment
45583,Income,Product Cost,$45.67,Office commute
45601,Income,Product Cost,$754.33,Family outing
45511,Income,Product Cost,$59.14,Utility bill
45858,Income,Product Cost,"$1,393.03",Groceries
45450,Income,Product Cost,$99.15,Medical visit
45451,Income,Product Cost,$666.15,Groceries
45547,Income,Product Cost,$644.33,Utility bill
45386,Income,Product Cost,"$1,002.50",Family outing
46043,Income,Product Cost,"$1,810.33",Vacation booking
45469,Income,Product Cost,"$2,065.13",Groceries
46131,Income,Product Cost,"$1,490.10",Utility bill
45330,Income,Product Cost,$956.96,Monthly payment
46081,Income,Product Cost,$873.09,Course fee
45718,Income,Product Cost,"$2,175.12",Family outing
46057,Income,Product Cost,"$2,321.99",Course fee
45347,Income,Product Cost,"$1,313.34",Medical visit
45844,Income,Product Cost,$378.20,Streaming service
46006,Income,Product Cost,$387.23,Course fee
45748,Income,Product Cost,"$1,440.26",Online purchase
45519,Income,Product Cost,$728.01,Course fee
45443,Income,Product Cost,$843.74,Vacation booking
45877,Expense,Product Cost,"$1,372.64",Utility bill
45379,Expense,Product Cost,"$1,257.05",Office commute
46072,Expense,Product Cost,"$1,204.90",Family outing
45791,Expense,Product Cost,"$1,632.36",Family outing
45866,Expense,Product Cost,"$2,492.71",Streaming service
45544,Expense,Product Cost,$183.75,Course fee
45623,Expense,Product Cost,$228.54,Course fee
45725,Expense,Product Cost,$874.03,Medical visit
45644,Expense,Product Cost,"$1,640.25",Utility bill
45465,Expense,Product Cost,"$1,542.47",Vacation booking
45930,Expense,Product Cost,"$1,103.96",Family outing
45496,Expense,Product Cost,$394.20,Online purchase
45407,Expense,Product Cost,$611.41,Groceries
45443,Expense,Product Cost,$39.26,Online purchase
45604,Expense,Product Cost,"$1,180.62",Medical visit
45506,Expense,Product Cost,$533.63,Streaming service
45827,Expense,Product Cost,"$1,374.26",Groceries
46039,Expense,Product Cost,"$1,739.20",Monthly payment
45677,Expense,Product Cost,"$2,265.57",Streaming service
45336,Expense,Product Cost,$429.95,Utility bill
45497,Expense,Product Cost,$681.85,Vacation booking
45962,Expense,Product Cost,$171.16,Utility bill
45970,Expense,Product Cost,"$2,161.38",Monthly payment
45591,Expense,Product Cost,$581.77,Course fee
45812,Expense,Product Cost,"$2,260.16",Vacation booking
45903,Expense,Product Cost,$224.61,Family outing
45804,Expense,Product Cost,"$1,403.92",Monthly payment
45332,Expense,Product Cost,"$2,306.06",Utility bill
45633,Expense,Product Cost,$986.53,Office commute
45310,Expense,Product Cost,"$1,712.36",Medical visit
45932,Expense,Product Cost,$594.33,Streaming service
45574,Expense,Product Cost,"$1,566.35",Course fee
46126,Expense,Product Cost,"$2,360.62",Utility bill
45522,Expense,Product Cost,$857.76,Course fee
45964,Expense,Product Cost,$224.05,Course fee
45825,Expense,Product Cost,"$2,182.39",Family outing
45719,Expense,Product Cost,"$1,434.38",Course fee
45611,Expense,Product Cost,$826.57,Streaming service
45426,Expense,Product Cost,"$1,632.92",Groceries
45846,Expense,Product Cost,"$2,157.16",Utility bill
45997,Expense,Product Cost,"$2,274.36",Course fee
46080,Expense,Product Cost,"$1,642.30",Groceries
45453,Expense,Product Cost,$174.20,Streaming service
46028,Expense,Product Cost,$464.42,Office commute
46036,Expense,Product Cost,"$1,914.76",Course fee
45713,Expense,Product Cost,"$1,110.30",Utility bill
45447,Expense,Product Cost,$271.39,Office commute
45318,Expense,Product Cost,"$1,544.28",Groceries
45872,Expense,Product Cost,$581.12,Family outing
45528,Expense,Product Cost,$901.36,Vacation booking
45429,Expense,Product Cost,"$2,116.11",Vacation booking
46021,Expense,Product Cost,$464.02,Course fee
45795,Expense,Product Cost,$348.09,Family outing
45523,Expense,Product Cost,"$1,024.43",Monthly payment
45568,Expense,Product Cost,$560.27,Family outing
46067,Expense,Product Cost,$170.01,Vacation booking
45923,Expense,Product Cost,"$1,721.22",Vacation booking
45544,Expense,Product Cost,"$1,015.14",Monthly payment
45914,Expense,Product Cost,"$1,801.90",Course fee
45918,Expense,Product Cost,"$1,486.55",Streaming service
45948,Expense,Product Cost,"$1,304.02",Vacation booking
45759,Expense,Product Cost,"$2,195.06",Family outing
45823,Expense,Product Cost,$992.05,Monthly payment
45863,Expense,Product Cost,"$1,292.74",Monthly payment
45486,Expense,Product Cost,"$1,101.69",Utility bill
46084,Expense,Product Cost,"$1,156.06",Course fee
45593,Expense,Product Cost,"$2,297.99",Streaming service
45437,Expense,Product Cost,"$2,075.58",Vacation booking
45384,Expense,Product Cost,$287.36,Groceries
46004,Expense,Product Cost,$342.59,Course fee
45623,Expense,Product Cost,$67.16,Vacation booking
45896,Expense,Product Cost,"$2,206.96",Online purchase
45548,Expense,Product Cost,"$1,730.83",Office commute
46027,Expense,Product Cost,$232.52,Vacation booking
45941,Expense,Product Cost,$217.84,Course fee
46036,Expense,Product Cost,"$1,532.12",Office commute
45679,Expense,Product Cost,$954.61,Office commute
45635,Expense,Product Cost,"$2,178.91",Office commute
45458,Expense,Product Cost,$451.27,Monthly payment
45721,Expense,Product Cost,$777.25,Vacation booking
45587,Expense,Product Cost,$298.30,Office commute
45499,Expense,Product Cost,"$1,558.29",Utility bill
45304,Expense,Product Cost,"$1,246.58",Vacation booking
45848,Expense,Product Cost,"$1,521.92",Vacation booking
45535,Expense,Product Cost,"$1,474.21",Vacation booking
45756,Expense,Product Cost,"$1,107.48",Groceries
45906,Expense,Product Cost,$615.56,Streaming service
45576,Expense,Product Cost,"$1,573.45",Family outing
45342,Expense,Product Cost,$374.90,Medical visit
45329,Expense,Product Cost,"$2,135.30",Groceries
46150,Expense,Product Cost,$749.61,Online purchase
45342,Expense,Product Cost,"$1,045.31",Office commute
45457,Expense,Product Cost,"$1,529.67",Groceries
45878,Expense,Product Cost,$447.66,Vacation booking
46059,Expense,Product Cost,$903.67,Monthly payment
45387,Expense,Product Cost,$810.44,Course fee
46131,Expense,Product Cost,"$1,897.31",Streaming service
45358,Expense,Product Cost,"$1,179.69",Online purchase
46003,Expense,Product Cost,$826.38,Course fee
45829,Expense,Product Cost,"$1,741.09",Groceries
45351,Expense,Product Cost,"$1,430.56",Streaming service
45381,Expense,Product Cost,"$1,811.56",Groceries
46099,Expense,Product Cost,"$1,070.50",Medical visit
45557,Expense,Product Cost,"$1,439.98",Groceries
45654,Expense,Product Cost,"$1,537.65",Vacation booking
45824,Expense,Product Cost,"$1,233.80",Office commute
45916,Expense,Product Cost,"$1,772.92",Family outing
45293,Expense,Product Cost,$64.85,Online purchase
46047,Expense,Product Cost,"$1,999.91",Course fee
45715,Expense,Product Cost,$837.81,Streaming service
46117,Expense,Product Cost,$33.19,Family outing
45998,Expense,Product Cost,$639.77,Online purchase
45607,Expense,Product Cost,"$1,269.19",Medical visit
46077,Expense,Product Cost,$289.02,Medical visit
45641,Expense,Product Cost,"$1,812.37",Groceries
45321,Expense,Product Cost,$489.07,Medical visit
45980,Expense,Product Cost,"$2,290.83",Monthly payment
45953,Expense,Product Cost,"$1,206.33",Vacation booking
45841,Expense,Product Cost,"$1,158.86",Course fee
46052,Expense,Product Cost,"$2,088.59",Utility bill
45870,Expense,Product Cost,"$1,390.17",Monthly payment
45505,Expense,Product Cost,"$1,715.31",Medical visit
45359,Expense,Product Cost,$704.75,Monthly payment
45639,Expense,Product Cost,"$1,568.14",Office commute
45876,Expense,Product Cost,$976.97,Groceries
45411,Expense,Product Cost,"$1,764.64",Medical visit
46018,Expense,Product Cost,$682.39,Online purchase
45800,Expense,Product Cost,$932.10,Utility bill
45513,Expense,Product Cost,$759.28,Online purchase
45675,Expense,Product Cost,"$1,945.59",Online purchase
45746,Expense,Product Cost,$67.21,Vacation booking
45804,Expense,Product Cost,$479.58,Vacation booking
46042,Expense,Product Cost,$779.34,Medical visit
45438,Expense,Product Cost,"$2,056.24",Streaming service
45984,Expense,Product Cost,$516.94,Monthly payment
45762,Expense,Product Cost,"$1,785.63",Streaming service
45410,Expense,Product Cost,$780.90,Monthly payment
45995,Expense,Product Cost,"$2,180.33",Medical visit
45770,Expense,Product Cost,$262.24,Utility bill
45315,Expense,Product Cost,"$1,897.44",Family outing
45620,Expense,Product Cost,$485.40,Utility bill
45837,Expense,Product Cost,"$1,933.10",Online purchase
45571,Expense,Product Cost,$397.95,Online purchase
45307,Expense,Facebook Ads,"$1,401.27",Online purchase
45503,Expense,Facebook Ads,$879.04,Medical visit
45569,Expense,Facebook Ads,"$2,358.48",Utility bill
45879,Expense,Facebook Ads,$432.33,Utility bill
45919,Expense,Facebook Ads,"$1,353.74",Monthly payment
45425,Expense,Facebook Ads,"$1,179.49",Monthly payment
45400,Expense,Facebook Ads,$139.23,Course fee
45693,Expense,Facebook Ads,"$1,763.17",Groceries
45936,Expense,Facebook Ads,"$1,542.71",Utility bill
45632,Expense,Facebook Ads,"$1,783.68",Streaming service
45372,Expense,Facebook Ads,"$1,421.63",Online purchase
46124,Expense,Facebook Ads,$247.67,Utility bill
45992,Expense,Facebook Ads,"$1,179.01",Family outing
45439,Expense,Facebook Ads,$648.84,Medical visit
45693,Expense,Facebook Ads,"$1,750.54",Medical visit
46099,Expense,Facebook Ads,"$1,135.94",Monthly payment
45358,Expense,Facebook Ads,$286.65,Vacation booking
45764,Expense,Facebook Ads,$709.23,Medical visit
45910,Expense,Facebook Ads,$322.85,Online purchase
45707,Expense,Facebook Ads,$818.04,Online purchase
46103,Expense,Facebook Ads,"$1,334.20",Course fee
45896,Expense,Facebook Ads,$600.25,Family outing
45853,Expense,Facebook Ads,"$2,434.86",Course fee
45359,Expense,Facebook Ads,$524.55,Groceries
45733,Expense,Facebook Ads,"$1,420.19",Medical visit
45849,Expense,Facebook Ads,$436.85,Online purchase
46049,Expense,Facebook Ads,"$2,092.69",Online purchase
45898,Expense,Facebook Ads,"$1,159.96",Streaming service
45391,Expense,Facebook Ads,$444.55,Course fee
45363,Expense,Facebook Ads,$276.32,Groceries
46081,Expense,Facebook Ads,$821.88,Monthly payment
45384,Expense,Facebook Ads,"$2,043.50",Groceries
